Year,Units,type of waste treatment,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,kilogram per capita,,,,,a) hazardous waste generated per capita,244.0
2011,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2012,kilogram per capita,,,,,a) hazardous waste generated per capita,273.0
2013,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2014,kilogram per capita,,,,,a) hazardous waste generated per capita,269.0
2015,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2016,kilogram per capita,,,,,a) hazardous waste generated per capita,280.0
2017,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2018,kilogram per capita,,,,,a) hazardous waste generated per capita,292.0
2019,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2020,kilogram per capita,,,,,a) hazardous waste generated per capita,282.0
2021,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2022,kilogram per capita,,,,,a) hazardous waste generated per capita,272.0
2010,percentage,,,,,b) hazardous waste treated,100.0
2011,percentage,,.,,,b) hazardous waste treated,
2012,percentage,,,,,b) hazardous waste treated,100.0
2013,percentage,,.,,,b) hazardous waste treated,
2014,percentage,,,,,b) hazardous waste treated,100.0
2015,percentage,,.,,,b) hazardous waste treated,
2016,percentage,,,,,b) hazardous waste treated,100.0
2017,percentage,,.,,,b) hazardous waste treated,
2018,percentage,,,,,b) hazardous waste treated,100.0
2019,percentage,,.,,,b) hazardous waste treated,
2020,percentage,,,,,b) hazardous waste treated,100.0
2021,percentage,,.,,,b) hazardous waste treated,
2022,percentage,,,,,b) hazardous waste treated,100.0
2010,percentage,energy recovery,,,,b) hazardous waste treated,13.6
2011,percentage,energy recovery,.,,,b) hazardous waste treated,
2012,percentage,energy recovery,,,,b) hazardous waste treated,15.0
2013,percentage,energy recovery,.,,,b) hazardous waste treated,
2014,percentage,energy recovery,,,,b) hazardous waste treated,13.6
2015,percentage,energy recovery,.,,,b) hazardous waste treated,
2016,percentage,energy recovery,,,,b) hazardous waste treated,13.7
2017,percentage,energy recovery,.,,,b) hazardous waste treated,
2018,percentage,energy recovery,,,,b) hazardous waste treated,14.0
2019,percentage,energy recovery,.,,,b) hazardous waste treated,
2020,percentage,energy recovery,,,,b) hazardous waste treated,14.3
2021,percentage,energy recovery,.,,,b) hazardous waste treated,
2022,percentage,energy recovery,,,,b) hazardous waste treated,13.9
2010,percentage,incineration,,,,b) hazardous waste treated,5.9
2011,percentage,incineration,.,,,b) hazardous waste treated,
2012,percentage,incineration,,,,b) hazardous waste treated,5.4
2013,percentage,incineration,.,,,b) hazardous waste treated,
2014,percentage,incineration,,,,b) hazardous waste treated,6.2
2015,percentage,incineration,.,,,b) hazardous waste treated,
2016,percentage,incineration,,,,b) hazardous waste treated,4.9
2017,percentage,incineration,.,,,b) hazardous waste treated,
2018,percentage,incineration,,,,b) hazardous waste treated,4.2
2019,percentage,incineration,.,,,b) hazardous waste treated,
2020,percentage,incineration,,,,b) hazardous waste treated,4.9
2021,percentage,incineration,.,,,b) hazardous waste treated,
2022,percentage,incineration,,,,b) hazardous waste treated,4.4
2010,percentage,recovery other than energy recovery,r,,,b) hazardous waste treated,59.5
2011,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2012,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,56.5
2013,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2014,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,57.6
2015,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2016,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,57.1
2017,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2018,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,56.0
2019,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2020,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,55.5
2021,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2022,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,56.0
2010,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,20.9
2011,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2012,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,23.1
2013,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2014,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,22.7
2015,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2016,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,24.3
2017,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2018,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,25.9
2019,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2020,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,25.4
2021,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2022,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,25.7
