Year,Series,Value
2010,Animal genetic resources,
2011,Animal genetic resources,
2012,Animal genetic resources,
2013,Animal genetic resources,
2014,Animal genetic resources,
2015,Animal genetic resources,
2016,Animal genetic resources,
2017,Animal genetic resources,28.0
2018,Animal genetic resources,28.0
2019,Animal genetic resources,28.0
2020,Animal genetic resources,28.0
2010,Plant genetic resources,
2011,Plant genetic resources,
2012,Plant genetic resources,
2013,Plant genetic resources,
2014,Plant genetic resources,174266.0
2015,Plant genetic resources,
2016,Plant genetic resources,174405.0
2017,Plant genetic resources,177387.0
2018,Plant genetic resources,179498.0
2019,Plant genetic resources,181637.0
2020,Plant genetic resources,181574.0
