Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,oda (commitments) for biodiversity,,,,440.9
2011,million eur,oda (commitments) for biodiversity,,,,877.7
2012,million eur,oda (commitments) for biodiversity,,,,755.3
2013,million eur,oda (commitments) for biodiversity,,,,754.0
2014,million eur,oda (commitments) for biodiversity,,,,926.2
2015,million eur,oda (commitments) for biodiversity,,,,1050.8
2016,million eur,oda (commitments) for biodiversity,,,,1004.9
2017,million eur,oda (commitments) for biodiversity,,,,1602.2
2018,million eur,oda (commitments) for biodiversity,,,,1350.6
2019,million eur,oda (commitments) for biodiversity,,,,1990.5
2020,million eur,oda (commitments) for biodiversity,,,,2084.9
2021,million eur,oda (commitments) for biodiversity,,,,2107.5
2022,million eur,oda (commitments) for biodiversity,,,,2850.2
2023,million eur,oda (commitments) for biodiversity,,,,2161.0
2024,million eur,oda (commitments) for biodiversity,,,,2394.7
2010,million eur,oda (gross disbursements) for biodiversity,,,,318.6
2011,million eur,oda (gross disbursements) for biodiversity,,,,440.7
2012,million eur,oda (gross disbursements) for biodiversity,,,,601.6
2013,million eur,oda (gross disbursements) for biodiversity,,,,616.5
2014,million eur,oda (gross disbursements) for biodiversity,,,,702.4
2015,million eur,oda (gross disbursements) for biodiversity,,,,687.2
2016,million eur,oda (gross disbursements) for biodiversity,,,,935.1
2017,million eur,oda (gross disbursements) for biodiversity,,,,1321.5
2018,million eur,oda (gross disbursements) for biodiversity,,,,1216.5
2019,million eur,oda (gross disbursements) for biodiversity,,,,1449.9
2020,million eur,oda (gross disbursements) for biodiversity,,,,1787.8
2021,million eur,oda (gross disbursements) for biodiversity,,,,2107.5
2022,million eur,oda (gross disbursements) for biodiversity,,,,2850.2
2023,million eur,oda (gross disbursements) for biodiversity,…,,,
2024,million eur,oda (gross disbursements) for biodiversity,…,,,
2010,million eur,environmental protection expenditure,,,,52116.0
2011,million eur,environmental protection expenditure,,,,54918.0
2012,million eur,environmental protection expenditure,,,,57022.0
2013,million eur,environmental protection expenditure,,,,58937.0
2014,million eur,environmental protection expenditure,,,,63026.0
2015,million eur,environmental protection expenditure,,,,64748.0
2016,million eur,environmental protection expenditure,,,,67478.0
2017,million eur,environmental protection expenditure,,,,70053.0
2018,million eur,environmental protection expenditure,,,,74164.0
2019,million eur,environmental protection expenditure,,,,77773.0
2020,million eur,environmental protection expenditure,r,,,79084.0
2021,million eur,environmental protection expenditure,,,,80334.0
2022,million eur,environmental protection expenditure,r,,,82583.0
2023,million eur,environmental protection expenditure,p,,,85310.0
2024,million eur,environmental protection expenditure,…,,,
2010,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,676.3
2011,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1330.0
2012,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1128.3
2013,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1104.3
2014,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1331.3
2015,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1484.6
2016,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1402.0
2017,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,2203.0
2018,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,1823.0
2019,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,2633.6
2020,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,2711.0
2021,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,2668.6
2022,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,3391.2
2023,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,2409.8
2024,"million usd, constant prices (2024)",oda (commitments) for biodiversity,,,,2590.0
2010,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,488.8
2011,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,667.8
2012,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,898.8
2013,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,902.9
2014,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,1009.7
2015,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,970.9
2016,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,1304.6
2017,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,1817.1
2018,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,1642.0
2019,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,1918.4
2020,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,2324.6
2021,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,2668.6
2022,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,,,,3391.2
2023,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,…,,,
2024,"million usd, constant prices (2024)",oda (gross disbursements) for biodiversity,…,,,
