Year,Units,Verkehrsträger,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Personenkilometer,,,,,Personenverkehr,1117240
2011,Millionen Personenkilometer,,,,,Personenverkehr,1131004
2012,Millionen Personenkilometer,,,,,Personenverkehr,1135558
2013,Millionen Personenkilometer,,,,,Personenverkehr,1143475
2014,Millionen Personenkilometer,,,,,Personenverkehr,1162942
2015,Millionen Personenkilometer,,,,,Personenverkehr,1180646
2016,Millionen Personenkilometer,,,,,Personenverkehr,1204775
2017,Millionen Personenkilometer,,,,,Personenverkehr,1155136
2018,Millionen Personenkilometer,,,,,Personenverkehr,1161885
2019,Millionen Personenkilometer,,,,,Personenverkehr,1170186
2020,Millionen Personenkilometer,,,,,Personenverkehr,921937
2021,Millionen Personenkilometer,,,,,Personenverkehr,962304
2022,Millionen Personenkilometer,,,,,Personenverkehr,1069104
2023,Millionen Personenkilometer,,p,,,Personenverkehr,1105351
2010,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,78092
2011,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,77957
2012,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,76019
2013,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,76146
2014,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,78786
2015,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,81771
2016,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,81445
2017,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,79730
2018,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,80103
2019,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,78919
2020,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,45741
2021,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,45425
2022,Millionen Personenkilometer,Straßenverkehr,,,,Personenverkehr,61040
2023,Millionen Personenkilometer,Straßenverkehr,p,,,Personenverkehr,66639
2010,Millionen Personenkilometer,Eisenbahnverkehr,,,,Personenverkehr,83886
2011,Millionen Personenkilometer,Eisenbahnverkehr,,,,Personenverkehr,85414
2012,Millionen Personenkilometer,Eisenbahnverkehr,,,,Personenverkehr,88795
2013,Millionen Personenkilometer,Eisenbahnverkehr,,,,Personenverkehr,89615
