Year,Units,Time series,Value
2010,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,571.6
2011,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,1125.7
2012,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,954.5
2013,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,934.5
2014,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,1126.9
2015,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,1255.2
2016,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,1184.6
2017,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,1863.5
2018,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,1545.1
2019,"Million USD, constant prices (2019)",ODA (commitments) for biodiversity,2228.3
2010,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,413.1
2011,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,565.2
2012,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,760.3
2013,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,764.1
2014,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,854.7
2015,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,820.9
2016,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,1102.3
2017,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,1537.0
2018,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,1391.7
2019,"Million USD, constant prices (2019)",ODA (gross disbursements) for biodiversity,1623.1
2010,Million EUR,Environmental protection expenditure,52116.0
2011,Million EUR,Environmental protection expenditure,54918.0
2012,Million EUR,Environmental protection expenditure,57022.0
2013,Million EUR,Environmental protection expenditure,58937.0
2014,Million EUR,Environmental protection expenditure,63026.0
2015,Million EUR,Environmental protection expenditure,64748.0
2016,Million EUR,Environmental protection expenditure,67478.0
2017,Million EUR,Environmental protection expenditure,70053.0
2018,Million EUR,Environmental protection expenditure,74005.0
2019,Million EUR,Environmental protection expenditure,76273.0
